ARTIGO,AUTOR,INSTITUIÇÃO,UF
https://even3.blob.core.windows.net/anais/791639.pdf,DAIANE RENATA MACHADO,Cesuca,RS
https://even3.blob.core.windows.net/anais/798586.pdf,DELMA TÂNIA BERTHOLDO,IFRS,RS
https://even3.blob.core.windows.net/anais/799943.pdf,CAROLINE ANGÉLICA SCHMIDT,Univates,RS
https://even3.blob.core.windows.net/anais/799943.pdf,IEDA MARIA GIONGO,Univates,RS
https://even3.blob.core.windows.net/anais/801038.pdf,IEDA MARIA GIONGO,Univates,RS
https://even3.blob.core.windows.net/anais/801038.pdf,KÁTIA LIGIA VIEIRA LIRA,Univates,RS
https://even3.blob.core.windows.net/anais/801456.pdf,ISABEL CRISTINA MACHADO DE LARA,PUCRS,RS
https://even3.blob.core.windows.net/anais/801509.pdf,DENISE CRISTINA RIBEIRO DA SILVA,Univates,RS
https://even3.blob.core.windows.net/anais/801509.pdf,IEDA MARIA GIONGO,Univates,RS
https://even3.blob.core.windows.net/anais/787094.pdf,JACKELINE RODRIGUES MENDES,UNICAMP,SP
https://even3.blob.core.windows.net/anais/787094.pdf,LUIZ FELIPE DE MELO PEREIRA,UNICAMP,SP
https://even3.blob.core.windows.net/anais/788428.pdf,ROGER MIARKA,UNESP,SP
https://even3.blob.core.windows.net/anais/788445.pdf,HARRYSON JÚNIO LESSA GONÇALVES,UNESP,SP
https://even3.blob.core.windows.net/anais/788445.pdf,JHEMERSON DA SILVA E NETO,UNESP,SP
https://even3.blob.core.windows.net/anais/788896.pdf,EVERALDO GOMES LEANDRO,IFSP,SP
https://even3.blob.core.windows.net/anais/788896.pdf,MAURA ARAUJO DIAS,IFSP,SP
https://even3.blob.core.windows.net/anais/789028.pdf,CARMEN LÚCIA BRANCAGLION PASSOS,UFSCar,SP
https://even3.blob.core.windows.net/anais/789048.pdf,ESTER LOPES MENDONÇA,USP,SP
https://even3.blob.core.windows.net/anais/789048.pdf,JÚLIO CÉSAR AUGUSTO DO VALLE,USP,SP
https://even3.blob.core.windows.net/anais/789064.pdf,VALDIRENE ROSA DE SOUZA,SEDUC,SP
https://even3.blob.core.windows.net/anais/789065.pdf,HARRYSON JÚNIO LESSA GONÇALVES,UNESP,SP
https://even3.blob.core.windows.net/anais/789947.pdf,EVERALDO GOMES LEANDRO,IFSP,SP
https://even3.blob.core.windows.net/anais/789947.pdf,MAURA ARAUJO DIAS,IFSP,SP
https://even3.blob.core.windows.net/anais/789947.pdf,RODRIGO REIS (Rodrigo dos Reis Silva),IFSP,SP
https://even3.blob.core.windows.net/anais/791282.pdf,CARLOS MUCUTA SANTOS,USP,SP
https://even3.blob.core.windows.net/anais/792436.pdf,MARCELO DE CARVALHO BORBA,UNESP,SP
https://even3.blob.core.windows.net/anais/799462.pdf,DANIEL OLIVEIRA DE ANDRADE,USP,SP
https://even3.blob.core.windows.net/anais/799462.pdf,JÚLIO CÉSAR AUGUSTO DO VALLE,USP,SP
https://even3.blob.core.windows.net/anais/801481.pdf,ANA GABRIELLE CAMARGO DE SOUZA,UNESP,SP
https://even3.blob.core.windows.net/anais/801481.pdf,ANDREIA LUNKES CONRADO,Unesp,SP
https://even3.blob.core.windows.net/anais/801518.pdf,ROGER MIARKA,UNESP,SP
https://even3.blob.core.windows.net/anais/801518.pdf,WANDERSON ROCHA LOPES,UNESP,SP
https://even3.blob.core.windows.net/anais/801657.pdf,ADEMIR DONIZETI CALDEIRA,UFSCar,SP
https://even3.blob.core.windows.net/anais/801657.pdf,RAFAEL BIDA GUABIRABA MARTINS,UFSCar,SP
https://even3.blob.core.windows.net/anais/801742.pdf,ALEXANDER CAVALCANTI VALENÇA,USP,SP
https://even3.blob.core.windows.net/anais/801822.pdf,MARCELO DE CARVALHO BORBA,UNESP,SP
